Source List,Entity Number,SDN Type,Programs,Name,Title,Address,City,State/Province,Postal Code,Country,Federal Register Notice,Effective Date,Date Lifted/Waived/Expired,Standard Order,License Requirement,License Policy,Call Sign,Vessel Type,Gross Tonnage,Gross Register Tonnage,Vessel Flag,Vessel Owner,Remarks/Notes,Address Number,Address Remarks,Alternate Number,Alternate Type,Alternate Name,Alternate Remarks,Web Link
ISN,,,Chemical and Biological Weapons Act,Government of Syria,,,,,,SY,"Vol. 78, No. 175, 9/10/13",9/10/2013,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Chemical and Biological Weapons Act,Government of Syria,,,,,,SY,"Vol. 78, No. 237, 12/10/13",12/10/2013,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Chemical and Biological Weapons Act,Hans Raj Shiv,,,,,,IN,"Vol. 68, No. 33, 02/19/03",2/4/2003,,,,,,,,,,,Previously residing in India; believed to be in the Middle East,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Chemical and Biological Weapons Act,Hans-Joachim Rose,,,,,,DE,"Vol. 62, No. 192, 10/03/97",9/25/1997,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,Missile Sanctions,Hesong Trading Corp.,,,,,,KP,"Vol. 80, No. 185, 09/24/15",9/24/2015,, ,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 12938 ,Hesong Trading Corp.,,,,,,KP,"Vol. 80, No. 185, 09/24/15",9/24/2015,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Hizballah Facilitators for Logistics,,,,,,SY,"Vol. 80, No. 170, 09/02/15, Vol. 80, No. 207, 10/27/15",8/28/2015,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,E.O. 13382,Hossein Tanideh,,,,,,IR,"Vol. 77, No. 141, 07/23/12",7/12/2012,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Instrument Design Bureau (KBP) Tula,,,,,,RU,"Vol. 79, No. 249, 12/30/14; Vol. 80, No. 170, 09/02/15; Vol. 80, No. 207, 10/27/15; Vol. 81, No. 128, 07/05/2016",12/19/2014,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
ISN,,,INKSNA,Iran Electronics Industries,,,,,,IR,"Vol. 79, No. 249, 12/30/14",12/19/2014,,,,,,,,,,,,,,,,,,http://www.state.gov/t/isn/c15231.htm
